sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,KOSPI_ALL,REVISION,20,spread,FH_A_HEALTHY_BREADTH,291,0.11657903502648587
TRAIN_2017_2022,KOSPI_ALL,REVISION,20,spread,FH_B_NET_BREADTH,291,0.17185628224440505
TRAIN_2017_2022,KOSPI_ALL,REVISION,20,spread,FH_C_CONTINUOUS,291,0.1732465217751243
TRAIN_2017_2022,KOSPI_ALL,VALUE,5,top,FH_A_HEALTHY_BREADTH,291,0.07181111034148108
TRAIN_2017_2022,KOSPI_ALL,VALUE,5,top,FH_B_NET_BREADTH,291,0.018235003295161503
TRAIN_2017_2022,KOSPI_ALL,VALUE,5,top,FH_C_CONTINUOUS,291,0.03191006530345899
TRAIN_2017_2022,KOSPI_ALL,VALUE,5,spread,FH_A_HEALTHY_BREADTH,291,0.048719661952078885
TRAIN_2017_2022,KOSPI_ALL,VALUE,5,spread,FH_B_NET_BREADTH,291,0.052033169429677596
TRAIN_2017_2022,KOSPI_ALL,VALUE,5,spread,FH_C_CONTINUOUS,291,0.07488324754442438
TRAIN_2017_2022,KOSPI_ALL,VALUE,20,top,FH_A_HEALTHY_BREADTH,291,0.054311615835901605
TRAIN_2017_2022,KOSPI_ALL,VALUE,20,top,FH_B_NET_BREADTH,291,0.0036764504569652048
TRAIN_2017_2022,KOSPI_ALL,VALUE,20,top,FH_C_CONTINUOUS,291,-0.0014253782584770318
TRAIN_2017_2022,KOSPI_ALL,VALUE,20,spread,FH_A_HEALTHY_BREADTH,291,0.11840658585203251
TRAIN_2017_2022,KOSPI_ALL,VALUE,20,spread,FH_B_NET_BREADTH,291,0.15324398351335425
TRAIN_2017_2022,KOSPI_ALL,VALUE,20,spread,FH_C_CONTINUOUS,291,0.13529016454913342
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,5,top,FH_A_HEALTHY_BREADTH,291,-5.25489301479137e-06
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,5,top,FH_B_NET_BREADTH,291,0.03722536648683923
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,5,top,FH_C_CONTINUOUS,291,0.0473778786358833
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,5,spread,FH_A_HEALTHY_BREADTH,291,-0.0023657528352590746
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,5,spread,FH_B_NET_BREADTH,291,0.049011780698967305
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,5,spread,FH_C_CONTINUOUS,291,0.04232112160273486
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,20,top,FH_A_HEALTHY_BREADTH,291,0.003871016939346062
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,20,top,FH_B_NET_BREADTH,291,0.012949237630745826
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,20,top,FH_C_CONTINUOUS,291,-0.044371289852884604
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,20,spread,FH_A_HEALTHY_BREADTH,291,0.04327089104099806
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,20,spread,FH_B_NET_BREADTH,291,0.09462644511276486
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,20,spread,FH_C_CONTINUOUS,291,0.11301296816638991
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,5,top,FH_A_HEALTHY_BREADTH,291,0.03112346918306782
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,5,top,FH_B_NET_BREADTH,291,0.07042520106366879
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,5,top,FH_C_CONTINUOUS,291,0.05362188274595932
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,5,spread,FH_A_HEALTHY_BREADTH,291,0.037848601450210816
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,5,spread,FH_B_NET_BREADTH,291,0.06677962416140984
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,5,spread,FH_C_CONTINUOUS,291,0.01688686090509328
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,20,top,FH_A_HEALTHY_BREADTH,291,0.002125214050553421
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,20,top,FH_B_NET_BREADTH,291,0.005232089543041666
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,20,top,FH_C_CONTINUOUS,291,-0.10174288650054299
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,20,spread,FH_A_HEALTHY_BREADTH,291,0.03912168791582319
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,20,spread,FH_B_NET_BREADTH,291,0.07858540956923987
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,20,spread,FH_C_CONTINUOUS,291,0.04494592133392421
