sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
OOS,KOSPI_EX_K200,KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,-0.0040214278323429855,-0.0060890787383752415,0.002067650906032256,0.12561551639725824,0.5714285714285714,0.38461538461538464
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.01306430181063965,-0.014523626717644844,0.0014593249070051946,0.06043568523863827,0.35294117647058826,0.5
OOS,KOSPI_EX_K200,KOSPI_EX_K200,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,-0.011352383253804886,0.010482701297416418,-0.021835084551221302,-0.8039260717601757,0.42857142857142855,0.6153846153846154
TRAIN,KOSPI_EX_K200,KOSPI_ALL,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.0012968735538505523,0.001993215037918183,-0.0006963414840676307,-0.21070037481778248,0.7058823529411765,0.5
OOS,KOSPI_EX_K200,KOSPI_ALL,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,14,-0.02190357337009596,-0.0049879331768635,-0.01691564019323246,-0.8070289935163656,0.7142857142857143,0.5
TRAIN,KOSPI_EX_K200,KOSPI_ALL,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.0015347092216218868,-0.0002719432520661647,0.0018066524736880516,0.17131883137337334,0.4117647058823529,0.7
OOS,KOSPI_EX_K200,KOSPI_ALL,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,0.002529411203611908,-0.013783557785167603,0.01631296898877951,0.9677219075918333,0.5714285714285714,0.46153846153846156
TRAIN,KOSPI_EX_K200,KOSPI_ALL,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.0051396184069758995,-0.011335725488070294,0.006196107081094394,0.39892170453101655,0.35294117647058826,0.4
OOS,KOSPI_EX_K200,KOSPI_ALL,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,0.024327043587003938,-0.002706313206072079,0.027033356793076016,0.6700378328591218,0.7142857142857143,0.5384615384615384
TRAIN,KOSPI_EX_K200,KOSDAQ,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.00043276180137057606,0.003730791738444938,-0.004163553539815514,-1.0035008495297109,0.4117647058823529,0.6
