universe,sample,factor_a,factor_b,corr
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,MOM12_1,-0.29780184615308797
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,MOM1M,0.011827624675681544
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,OP12_REV,-0.17594817617187664
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,OPFY1_REV,-0.014441746677291818
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,PBR12MF,0.7882021995701778
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,PER12MF,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,PRIVATE_FLOW,0.2067802304749934
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,FOREIGN_FLOW,-0.025298406062021148
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,MOM12_1,-0.03485611402203929
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,MOM1M,0.15847420364664414
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,OP12_REV,0.04158330143912069
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,OPFY1_REV,0.014329765174889176
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,PBR12MF,0.16572999704505845
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,PER12MF,0.2067802304749934
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PRIVATE_FLOW,PRIVATE_FLOW,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,FOREIGN_FLOW,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,MOM12_1,0.09911035098789761
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,MOM1M,0.11344871343237642
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,OP12_REV,0.14018401026665714
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,OPFY1_REV,0.29540580061460886
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,PBR12MF,0.03464869448845541
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,PER12MF,0.08020948996032223
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,FOREIGN_FLOW,PRIVATE_FLOW,-0.049805183291515495
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,FOREIGN_FLOW,0.09911035098789761
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,MOM12_1,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,MOM1M,0.09903194929654774
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,OP12_REV,0.4586903835537494
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,OPFY1_REV,0.2278210676710627
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,PBR12MF,-0.5509409236921501
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,PER12MF,-0.4804371450657789
KOSDAQ_PLUS_KOSPI_EX_K200,OOS,MOM12_1,PRIVATE_FLOW,-0.21998312047554636
