sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
OOS,KOSPI_EX_K200,KOSPI_ALL,20,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,54,0.048139886586689135,0.014604385477079315,0.6296296296296297,3.7089141047263725
TRAIN,KOSPI_EX_K200,KOSDAQ,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.0009091246738722844,-0.00016399042987466105,0.4953271028037383,-0.6975315236190551
TRAIN,KOSPI_EX_K200,KOSDAQ,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.000751343564193317,0.0002851133990748497,0.5142857142857142,0.6079533590780006
TRAIN,KOSPI_EX_K200,KOSDAQ,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,0.00018021818822947026,0.0017990084958276961,0.5277777777777778,0.13468401652755932
OOS,KOSPI_EX_K200,KOSDAQ,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,0.002349699588220494,0.00202124008035045,0.5774647887323944,0.8133287747828886
OOS,KOSPI_EX_K200,KOSDAQ,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,-0.00040281621193711615,0.0014393997233350165,0.5416666666666666,-0.2075458213211567
OOS,KOSPI_EX_K200,KOSDAQ,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,-0.0010242745188772065,0.003246622058447418,0.6181818181818182,-0.283222589635788
TRAIN,KOSPI_EX_K200,KOSDAQ,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.0031090155293425625,0.0007177973519330639,0.5233644859813084,-0.8988705887225983
TRAIN,KOSPI_EX_K200,KOSDAQ,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0038632431130742402,0.006045288547467196,0.6190476190476191,1.2092976364055439
TRAIN,KOSPI_EX_K200,KOSDAQ,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,-0.0008925939642723526,0.0011266069686811592,0.5092592592592593,-0.25202975375762837
OOS,KOSPI_EX_K200,KOSDAQ,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,-0.00269519598502047,0.0003378269224269113,0.5070422535211268,-0.504979337220408
