universe,task,horizon,period,model,delta_edge_vs_control,delta_sign_accuracy,delta_rank_ic,delta_mdd
KOSPI_EX_K200,RISK,5,BULL_2025,FULL,-0.00024372841366395413,-0.06122448979591838,-0.0583673469387755,0.03738160240514132
KOSPI_EX_K200,RISK,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.001764282772538783,-0.051282051282051266,-0.02728948433214945,-0.1376427822278804
KOSPI_EX_K200,RISK,5,DISCOVERY_2016_2022,FULL,-0.0007337428646349148,-0.01709401709401709,-0.033328837536902994,-0.07972626826985008
KOSPI_EX_K200,RISK,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0005841902593052155,-0.03296703296703296,-0.13806338588947287,-0.009603183841672691
KOSPI_EX_K200,RISK,5,NORMAL_2023_2024,FULL,-0.0004830503093784056,-0.03296703296703296,-0.06910336040770823,8.718297917731377e-05
KOSPI_EX_K200,RISK,5,YTD_2026,FACTOR_ONLY,-0.0028493646370382933,-0.06666666666666665,0.30714285714285705,-1.1102230246251565e-16
KOSPI_EX_K200,RISK,5,YTD_2026,FULL,0.0,0.0,0.24642857142857139,0.0
KOSPI_EX_K200,RISK,20,BULL_2025,FACTOR_ONLY,0.0009650842676014806,-0.020408163265306145,-0.0026530612244898,0.08644261851136525
KOSPI_EX_K200,RISK,20,BULL_2025,FULL,0.0014870776092426197,0.020408163265306145,0.08632653061224489,0.08644261851136514
KOSPI_EX_K200,RISK,20,DISCOVERY_2016_2022,FACTOR_ONLY,-0.011291603737513893,-0.09401709401709402,-0.3725366782058775,-0.2260272653187687
KOSPI_EX_K200,RISK,20,DISCOVERY_2016_2022,FULL,-0.008364341771102879,-0.08547008547008539,-0.34971301832786345,-0.22694109164553167
KOSPI_EX_K200,RISK,20,NORMAL_2023_2024,FACTOR_ONLY,0.0007711125698985294,0.05494505494505497,-0.1872431915910177,-0.0626246106398548
KOSPI_EX_K200,RISK,20,NORMAL_2023_2024,FULL,0.0028558545694944994,0.08791208791208793,-0.012438286351329847,-0.039091056038383365
KOSPI_EX_K200,RISK,20,YTD_2026,FACTOR_ONLY,-0.013940071747602855,-0.06666666666666665,-0.0035714285714286143,0.07142371109528234
KOSPI_EX_K200,RISK,20,YTD_2026,FULL,-0.007991532874715093,-0.06666666666666665,0.04642857142857143,1.1102230246251565e-16
KOSPI_KOSDAQ_ALL,ALPHA,5,BULL_2025,FACTOR_ONLY,-0.0008241258497471183,-0.10204081632653061,-0.2555102040816326,-0.0078063208044756305
KOSPI_KOSDAQ_ALL,ALPHA,5,BULL_2025,FULL,-0.0008591762210393559,-0.10204081632653061,-0.2365306122448979,-0.0078063208044754084
KOSPI_KOSDAQ_ALL,ALPHA,5,DISCOVERY_2016_2022,FACTOR_ONLY,7.136943242157928e-05,-0.0625,-0.038750904268145654,-0.009612248708443905
KOSPI_KOSDAQ_ALL,ALPHA,5,DISCOVERY_2016_2022,FULL,-7.403354298640024e-05,-0.02083333333333337,-0.022747367574953777,0.027577221624574877
KOSPI_KOSDAQ_ALL,ALPHA,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0007954585910781163,-0.03125,-0.1774552360282149,-0.026118896023663907
KOSPI_KOSDAQ_ALL,ALPHA,5,NORMAL_2023_2024,FULL,-0.0007522345987383001,-0.0625,-0.13185024416711882,-0.010317844572824364
KOSPI_KOSDAQ_ALL,ALPHA,5,YTD_2026,FACTOR_ONLY,0.01387190868186256,0.09523809523809523,0.3779220779220778,0.009703930080243395
KOSPI_KOSDAQ_ALL,ALPHA,5,YTD_2026,FULL,0.007020524760072583,0.04761904761904767,0.13896103896103895,0.009703930080243395
KOSPI_KOSDAQ_ALL,ALPHA,20,BULL_2025,FACTOR_ONLY,0.001961276949170324,-0.02040816326530609,0.00785714285714284,2.220446049250313e-16
KOSPI_KOSDAQ_ALL,ALPHA,20,BULL_2025,FULL,-0.0011475046016094345,-0.040816326530612235,-0.055204081632653,0.0
KOSPI_KOSDAQ_ALL,ALPHA,20,DISCOVERY_2016_2022,FACTOR_ONLY,0.001363037908308678,0.0,0.11459689735551806,0.019365859609981384
KOSPI_KOSDAQ_ALL,ALPHA,20,DISCOVERY_2016_2022,FULL,0.0012139706938763518,0.013888888888888895,0.02682662165420786,0.02789063623450494
KOSPI_KOSDAQ_ALL,ALPHA,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0018706534787173662,-0.11458333333333337,-0.21327997829625614,-0.04023991814811756
KOSPI_KOSDAQ_ALL,ALPHA,20,NORMAL_2023_2024,FULL,-0.0008170660987529643,-0.09375000000000006,-0.13792729245794902,-0.04023991814811756
KOSPI_KOSDAQ_ALL,ALPHA,20,YTD_2026,FACTOR_ONLY,0.057864322632836376,0.28571428571428575,0.7012987012987012,0.17684734597837748
KOSPI_KOSDAQ_ALL,ALPHA,20,YTD_2026,FULL,0.02018971033026502,0.047619047619047616,0.28701298701298694,0.15714595135927456
KOSPI_KOSDAQ_ALL,RISK,5,BULL_2025,FACTOR_ONLY,-0.006808877184731069,-0.1428571428571428,-0.3343877551020408,-0.012505758907187081
KOSPI_KOSDAQ_ALL,RISK,5,BULL_2025,FULL,-0.004487162550506718,-0.10204081632653056,-0.286938775510204,-0.03327615141127993
KOSPI_KOSDAQ_ALL,RISK,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.0018220821778282379,-0.02777777777777779,-0.12001044932079416,-0.10907593183861686
KOSPI_KOSDAQ_ALL,RISK,5,DISCOVERY_2016_2022,FULL,-0.0023453170303251126,-0.05555555555555558,-0.15302628406076682,-0.08981152789548175
KOSPI_KOSDAQ_ALL,RISK,5,NORMAL_2023_2024,FACTOR_ONLY,-0.002194138192069063,0.0,0.03324742268041237,-0.1333861953251696
KOSPI_KOSDAQ_ALL,RISK,5,NORMAL_2023_2024,FULL,-0.0021206260123457195,-0.01041666666666663,0.03149755832881172,-0.12291608857465197
