universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,30,YTD_2026,10,0.005224923941555382,-0.021387176574510836,-0.0022596057574681416,-0.0052564102564102155,5
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,60,BULL_2025,10,0.07610360329083854,0.11059865239480704,0.00281304108008662,-0.006385869565217445,9
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,60,EARLY_2017_2019,10,0.0026348953465072378,0.033627634734958944,-0.010349306727902186,-0.0020833333333333814,6
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,60,LATE_2020_2022,10,0.009428904474996502,0.04027851300143814,0.005498296634390221,-0.00136835505788363,7
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,60,NORMAL_2023_2024,10,-0.001630026103102311,-0.008195889425329936,0.002047902101910526,0.0051020408163265085,4
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,60,PRE_STRESS_2017_2024,10,0.0021656171181570483,0.0167408671754955,0.0031947963558968118,0.0002638252617800374,6
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,60,YTD_2026,10,0.006041742390256344,-0.018742023235290173,-0.0022532388517979562,-0.0052564102564102155,5
KOSDAQ,WEIGHTED_MOM,ACT1_W10,30,BULL_2025,10,-0.14245601256143658,-0.3357162480959781,-0.004670418802736942,0.12558333333333332,1
KOSDAQ,WEIGHTED_MOM,ACT1_W10,30,EARLY_2017_2019,10,0.022136779172372778,0.0698392079776252,0.0012028816280150179,0.05616438356164377,8
KOSDAQ,WEIGHTED_MOM,ACT1_W10,30,LATE_2020_2022,10,-0.005378403743092841,-0.041230305444260235,-0.005713152316885517,0.14160810810810823,4
KOSDAQ,WEIGHTED_MOM,ACT1_W10,30,NORMAL_2023_2024,10,0.048808090214197686,0.12191050302638652,0.032178776457497116,0.13010204081632654,6
KOSDAQ,WEIGHTED_MOM,ACT1_W10,30,PRE_STRESS_2017_2024,10,0.0003422959145193416,-0.0061600398103340195,0.02316070955304872,0.10535714285714293,5
KOSDAQ,WEIGHTED_MOM,ACT1_W10,30,YTD_2026,10,-0.05967307387613274,-0.19208388150239694,0.007091007904814539,0.20166666666666652,4
KOSDAQ,WEIGHTED_MOM,ACT1_W10,60,BULL_2025,10,-0.14867780094900318,-0.3575118664671533,-0.007260836406554894,0.12558333333333332,1
KOSDAQ,WEIGHTED_MOM,ACT1_W10,60,EARLY_2017_2019,10,0.017090758391322458,0.050132008677254924,-0.0010082455351634323,0.05616438356164377,7
KOSDAQ,WEIGHTED_MOM,ACT1_W10,60,LATE_2020_2022,10,-0.014338217367359796,-0.07014926563200292,-0.011388903344626222,0.14160810810810823,2
KOSDAQ,WEIGHTED_MOM,ACT1_W10,60,NORMAL_2023_2024,10,0.03778907234241835,0.09261584242702761,0.007677205374835905,0.13010204081632654,6
KOSDAQ,WEIGHTED_MOM,ACT1_W10,60,PRE_STRESS_2017_2024,10,-0.00707056118928201,-0.029622734976144427,0.007358191267418102,0.10535714285714293,4
KOSDAQ,WEIGHTED_MOM,ACT1_W10,60,YTD_2026,10,-0.06765187212561513,-0.22205402044855488,0.003984426418226883,0.20166666666666652,3
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,BULL_2025,10,0.018203370760551674,0.10534254996218517,0.02449565149491606,0.12291666666666667,6
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,EARLY_2017_2019,10,-0.00696048960145168,-0.015304454989474178,0.005443840442213632,0.14383561643835618,4
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,LATE_2020_2022,10,-0.014217350347177027,-0.07615732570269165,-0.0003562632601696314,0.16959459459459467,4
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,NORMAL_2023_2024,10,0.00046646298324742874,-0.01838449593021549,0.008912095624953875,0.14489795918367349,5
