universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,train_q33,train_q67,low_n,high_n,raw_high_minus_low,directed_high_minus_low
KOSDAQ,2025,BULL_2025,DISPERSION_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.10634648983577914,-1,0.20725020359186952,-0.20725020359186952,0.03783284929359077,0.0516562890567812,7,23,0.3229813664596274,-0.3229813664596274
KOSDAQ,2025,BULL_2025,DISPERSION_60,TARGET_TOP2_SURVIVAL_20,430,49,-0.1219306114310026,-1,-0.04750080696092337,0.04750080696092337,0.07080131924793327,0.0941529591102731,15,25,0.026666666666666727,-0.026666666666666727
KOSDAQ,2025,BULL_2025,ABS_OPPORTUNITY_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.12505522989856324,-1,0.17287084994102025,-0.17287084994102025,0.03156163862510526,0.043721002198120765,9,23,0.1545893719806763,-0.1545893719806763
KOSDAQ,2025,BULL_2025,RANGE_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.08806994840761452,-1,0.1391217844404366,-0.1391217844404366,0.11043140149433284,0.15158502280980968,6,26,0.26282051282051283,-0.26282051282051283
KOSDAQ,2025,BULL_2025,LEADER_STRENGTH_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.0834693540004971,-1,0.13820500167641397,-0.13820500167641397,0.04569395280922289,0.07768678739601109,10,24,0.012499999999999956,-0.012499999999999956
KOSDAQ,2025,BULL_2025,LOSER_WEAKNESS_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.09809287953965115,-1,-0.04108332761276485,0.04108332761276485,0.05122857847472073,0.08357706474357196,8,24,0.041666666666666685,-0.041666666666666685
KOSDAQ,2025,BULL_2025,WINNER_GAP_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.024927439000043506,-1,0.053001503545059246,-0.053001503545059246,0.011150211305434032,0.031305590911749004,10,18,0.033333333333333326,-0.033333333333333326
KOSDAQ,2025,BULL_2025,CROSS_HORIZON_RANK_CORR,TARGET_TOP2_SURVIVAL_20,430,49,-0.12072369073926278,-1,-0.013417535302906706,0.013417535302906706,0.38095238095238104,0.6904761904761906,15,17,-0.0117647058823529,0.0117647058823529
KOSDAQ,2025,BULL_2025,PREV_RANK_CORR_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.10139588762861235,-1,-0.10150991069313324,0.10150991069313324,-0.14285714285714288,0.28571428571428575,17,20,-0.1132352941176471,0.1132352941176471
KOSDAQ,2025,BULL_2025,RANK_TURNOVER_20,TARGET_TOP2_SURVIVAL_20,430,49,0.10139588762861235,1,0.10150991069313324,0.10150991069313324,0.7142857142857142,1.1428571428571428,20,17,0.1132352941176471,0.1132352941176471
KOSDAQ,2025,BULL_2025,BREADTH_CHANGE_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.048979172040513386,-1,0.1615160634682141,-0.1615160634682141,-0.125,0.125,21,19,0.05012531328320802,-0.05012531328320802
KOSDAQ,2025,BULL_2025,DISPERSION_CHANGE_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.04655480931960922,-1,0.01759076928468453,-0.01759076928468453,-0.008741316768338274,0.010049963702082873,16,13,-0.03125,0.03125
