feature,target,n_universe_years,train_direction_median,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
LEADER_Z_20,TARGET_REVERSAL_GAP_20,42,-1.0,-0.10631152460984394,0.3888888888888889,-0.0020024012221816828,-0.0058043855840208426,0.5,-0.0002989233396862292,0.024846938775510204,0.6666666666666666,0.002578115607640385,0.15441176470588236,0.6666666666666666,0.0240542642102728,3,6,False
WINNER_GAP_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.08309016745344777,0.6111111111111112,0.021459096459096494,-0.009004574138054361,0.4166666666666667,0.0058035714285714635,0.04433861775793005,0.8333333333333334,-0.004769736842105243,0.023851204473456608,0.5,-0.08333333333333326,5,6,False
EXTREME_RANGE_RATIO_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,0.001776710684273709,0.5,-0.0011112980135897562,-0.01264871906209292,0.4166666666666667,-0.0033248935916318514,0.09224489795918367,0.6666666666666666,0.01452387223552529,0.20220588235294118,0.6666666666666666,0.01538768140814643,4,6,False
BREADTH_60,TARGET_TOP2_DROP_SHARE_20,42,-1.0,-0.1263082176351945,0.3333333333333333,-0.04191040640394089,-0.017361452390127805,0.3333333333333333,0.008333333333333331,-0.028750107252471,0.5,0.047090246354952264,-0.00953291233388227,0.5,0.13165584415584414,1,6,False
CROSS_HORIZON_RANK_CORR,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.06148735673228065,0.3333333333333333,-0.007152065648228892,-0.024221951578312716,0.5,-0.0006339629463343955,-0.10190981647743452,0.0,-0.010425316307302951,0.1592091180002686,0.6666666666666666,0.004554319599597744,2,6,False
WINNER_GAP_20,TARGET_REVERSAL_GAP_20,42,1.0,0.08580129487692512,0.7222222222222222,0.004229746198664259,-0.025765306122448973,0.4166666666666667,0.0007925915648271257,0.09224489795918367,0.8333333333333334,0.007848667857682455,-0.06127450980392157,0.3333333333333333,-0.011515010448147588,3,6,False
WINNER_GAP_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.05085234093637455,0.6111111111111112,0.0012448586426847196,-0.03683673469387755,0.4166666666666667,-0.0006673413359405455,0.10030612244897957,0.8333333333333334,0.006802329058325278,-0.10049019607843139,0.3333333333333333,-0.009284999238329433,4,6,False
DISPERSION_60,TARGET_WORST_LEADER_LOSS_20,42,1.0,0.04377551020408163,0.6111111111111112,0.007996132422168064,-0.040599218410768564,0.5,0.001956746523150381,0.032193877551020406,0.6666666666666666,-0.004193114958290955,-0.10906862745098041,0.3333333333333333,,4,6,False
AVG_PAIR_CORR_60,TARGET_TOP2_DROP_SHARE_20,42,-1.0,0.006933102133905522,0.5,-0.03947368421052633,-0.04659764572170304,0.3333333333333333,-0.04166666666666663,-0.005430437059657867,0.3333333333333333,-0.012530193236715004,-0.09654935302069774,0.0,,2,6,False
BREADTH_60,TARGET_WORST_LEADER_LOSS_20,42,-1.0,-0.13291224521242906,0.16666666666666666,-0.004664615406403331,-0.048476962482740665,0.3333333333333333,-0.005324170057733709,0.04526439470409688,0.8333333333333334,0.007523031618633696,0.0895612315898171,0.6666666666666666,0.027719113357376868,0,6,False
