factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2026,-0.043527117786175795,0.7307692307692307,0.28,0.060335077789087956
PBR12MF,PER12MF,TRAIL20,VAL_2020_2022,0.02901673945425365,0.03424657534246575,0.9724137931034482,0.021991185728867827
PBR12MF,PER12MF,TRAIL20,CONF_2023_2024,-0.05907863601539809,0.8297872340425532,0.17204301075268819,0.04118448063178197
PBR12MF,PER12MF,TRAIL20,STRESS_2025,0.04065021643767541,0.021739130434782608,1.0,0.019359085310864124
PBR12MF,PER12MF,TRAIL20,STRESS_2026,0.02276725695752313,0.3076923076923077,0.72,0.05661175922320108
PBR12MF,PER12MF,DISLOCATION,VAL_2020_2022,0.010949406559384367,0.21232876712328766,0.7931034482758621,0.028229458726717303
PBR12MF,PER12MF,DISLOCATION,CONF_2023_2024,-0.0329775620431787,0.6808510638297872,0.3225806451612903,0.05680762916046458
PBR12MF,PER12MF,DISLOCATION,STRESS_2025,0.07113035892153685,0.06521739130434782,0.9555555555555556,0.06664961116433803
PBR12MF,PER12MF,DISLOCATION,STRESS_2026,0.010581686821568126,0.4230769230769231,0.6,0.06094276873754712
PBR12MF,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,-0.05260883976063435,0.773972602739726,0.22758620689655173,0.010979729762748237
