Code,Name,결산월,WICS업종명(중)
A178920,PI첨단소재,12,소재
A179290,엠아이텍,12,건강관리장비와서비스
A179530,애드바이오텍,12,제약과생물공학
A179900,유티아이,12,기술하드웨어와장비
A180400,DXVX,12,건강관리장비와서비스
A180640,한진칼,12,운송
A181710,NHN,12,소프트웨어와서비스
A182360,큐브엔터,12,미디어와엔터테인먼트
A182400,엔케이젠바이오텍코리아,12,제약과생물공학
A183190,아세아시멘트,12,자본재
A183300,코미코,12,반도체와반도체장비
A183490,엔지켐생명과학,12,제약과생물공학
A184230,SGA솔루션즈,12,소프트웨어와서비스
A185490,아이진,12,제약과생물공학
A185750,종근당,12,제약과생물공학
A186230,그린플러스,12,자본재
A187220,디티앤씨,12,기술하드웨어와장비
A187270,신화콘텍,12,기술하드웨어와장비
A187420,HLB제넥스,12,제약과생물공학
A187660,페니트리움바이오,12,제약과생물공학
A187790,나노,12,소재
A187870,디바이스,12,디스플레이
A188040,바이오포트,12,"식품,음료,담배"
A188260,세니젠,12,건강관리장비와서비스
A189300,인텔리안테크,12,기술하드웨어와장비
A189330,씨이랩,12,소프트웨어와서비스
A189690,포시에스,6,소프트웨어와서비스
A189860,서전기전,12,자본재
A189980,흥국에프엔비,12,"식품,음료,담배"
A190510,나무가,12,기술하드웨어와장비
A190650,코리아에셋투자증권,3,증권
A191410,육일씨엔에쓰,12,디스플레이
A191420,테고사이언스,12,제약과생물공학
A192080,더블유게임즈,12,미디어와엔터테인먼트
A192250,케이사인,12,소프트웨어와서비스
A192390,윈하이텍,12,자본재
A192400,쿠쿠홀딩스,12,내구소비재와의류
A192410,오늘이엔엠,12,기술하드웨어와장비
A192440,슈피겐코리아,12,기술하드웨어와장비
A192650,드림텍,12,기술하드웨어와장비
A192820,코스맥스,12,내구소비재와의류
A193250,링크드,12,기술하드웨어와장비
A194370,제이에스코퍼레이션,12,내구소비재와의류
A194480,데브시스터즈,12,미디어와엔터테인먼트
A194700,노바렉스,12,건강관리장비와서비스
A195500,마니커에프앤지,12,"식품,음료,담배"
A195870,해성디에스,12,반도체와반도체장비
A195940,HK이노엔,12,제약과생물공학
A195990,루트K,12,자본재
A196170,알테오젠,12,제약과생물공학
A196300,HLB펩,12,제약과생물공학
A196450,코아시아씨엠,12,기술하드웨어와장비
A196490,디에이테크놀로지,12,전자와 전기제품
A196700,웹스,12,소재
A197140,디지캡,12,소프트웨어와서비스
A198080,캐프,12,기술하드웨어와장비
A198440,강동씨앤엘,12,자본재
A198940,한주라이트메탈,12,자동차와부품
A199430,케이엔알시스템,12,자본재
A199480,뱅크웨어글로벌,12,소프트웨어와서비스
A199550,레이저옵텍,12,건강관리장비와서비스
A199730,바이오인프라,12,제약과생물공학
A199800,툴젠,12,제약과생물공학
A199820,제일일렉트릭,12,자본재
A200130,콜마비앤에이치,12,건강관리장비와서비스
A200230,텔콘RF제약,12,제약과생물공학
A200350,아티스트스튜디오,12,미디어와엔터테인먼트
A200470,에이팩트,12,반도체와반도체장비
A200670,휴메딕스,12,제약과생물공학
A200710,에이디테크놀로지,12,반도체와반도체장비
A200780,비씨월드제약,12,제약과생물공학
A200880,서연이화,12,자동차와부품
A201490,미투온,12,미디어와엔터테인먼트
A203400,에이비온,12,제약과생물공학
A203450,유니온바이오메트릭스,12,기술하드웨어와장비
A203650,드림시큐리티,12,상업서비스와공급품
A203690,아크솔루션스,12,
A204020,그리티,12,내구소비재와의류
A204270,제이앤티씨,12,기술하드웨어와장비
A204320,HL만도,12,자동차와부품
A204610,티쓰리,12,미디어와엔터테인먼트
A204620,글로벌텍스프리,12,다각화된금융
A204840,지엘팜텍,12,제약과생물공학
A205100,엑셈,12,소프트웨어와서비스
A205470,휴마시스,12,제약과생물공학
A205500,넥써쓰,12,미디어와엔터테인먼트
A206400,베노티앤알,12,자본재
A206560,덱스터,12,미디어와엔터테인먼트
A206640,바디텍메드,12,제약과생물공학
A206650,유바이오로직스,12,제약과생물공학
A207760,미스터블루,12,미디어와엔터테인먼트
A207940,삼성바이오로직스,12,제약과생물공학
A208140,정다운,12,"식품,음료,담배"
A208350,지란지교시큐리티,12,소프트웨어와서비스
A208370,셀바스헬스케어,12,건강관리장비와서비스
A208640,썸에이지,12,미디어와엔터테인먼트
A208710,포톤,12,기술하드웨어와장비
A208860,다산디엠씨,12,자동차와부품
A209640,와이제이링크,12,기술하드웨어와장비
A210120,캔버스엔,12,미디어와엔터테인먼트
A210540,디와이파워,12,자본재
A210980,SK디앤디,12,부동산
A211050,인카금융서비스,12,보험
A211270,AP위성,12,기술하드웨어와장비
A212560,네오오토,12,자동차와부품
A212710,아이에스티이,12,반도체와반도체장비
