sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,MOM12_1,LOW,TURNOVER_W10,20,30,0.021586959998749156,0.08422467489150828,0.015687544080268512,0.016216216216216245
FULL,MOM12_1,LOW,ACT1_W10,20,60,0.012482054601438586,0.048909828105176655,0.025209809193809107,0.05711881976473418
FULL,MOM12_1,LOW,ACT5_KEEP_TOP50,20,60,-0.013774000177533274,-0.08160797573155731,0.03827867597031087,0.3732666796869132
FULL,MOM12_1,LOW,ACT5_KEEP_TOP70,20,60,0.015463734933505058,0.04617465836384047,0.0966440900492278,0.2143172633445007
FULL,MOM12_1,LOW,ACT5_W10,20,60,0.03361811210058874,0.12979511066551547,0.09382189406700692,0.0596480026441116
FULL,MOM12_1,LOW,RAW_TA_W10,20,60,0.009413756458871214,0.03803810718402124,-0.029475309227980362,0.006370656370656369
FULL,MOM12_1,LOW,TURNOVER_W10,20,60,0.019982748211437862,0.08081795427498434,0.013317285710588656,0.016216216216216245
FULL,MOM1M,HIGH,ACT1_W10,10,0,-0.02583612639977284,-0.08584970084593524,0.024468999582533013,0.08344726049006213
FULL,MOM1M,HIGH,ACT5_KEEP_TOP50,10,0,0.042951875946054985,0.13846390508872874,0.10101286381677732,0.0873383110737197
FULL,MOM1M,HIGH,ACT5_KEEP_TOP70,10,0,0.03884487344369236,0.12141916725735452,0.08391541920101186,0.053875276054264565
FULL,MOM1M,HIGH,ACT5_W10,10,0,-0.05373914009075165,-0.17742727563923702,-0.13581981113969233,0.0846145756651594
FULL,MOM1M,HIGH,RAW_TA_W10,10,0,0.03191396523964629,0.09665615638135583,0.008852132895512232,-0.006563706563706528
FULL,MOM1M,HIGH,TURNOVER_W10,10,0,0.0017791443524537431,0.005401020734744133,-0.025073419950098486,-0.011196911196911019
FULL,MOM1M,HIGH,ACT1_W10,10,30,-0.03068976897800202,-0.12768361881914933,0.016200440138086192,0.08344726049006213
FULL,MOM1M,HIGH,ACT5_KEEP_TOP50,10,30,0.03404577227064198,0.10962741058864275,0.07891532618557517,0.0873383110737197
FULL,MOM1M,HIGH,ACT5_KEEP_TOP70,10,30,0.032780869387375455,0.10663882036435088,0.09046828808165241,0.053875276054264565
FULL,MOM1M,HIGH,ACT5_W10,10,30,-0.057202172315544586,-0.19904474876635372,-0.1093546718697267,0.0846145756651594
FULL,MOM1M,HIGH,RAW_TA_W10,10,30,0.030960660522802774,0.10287873399760675,0.03565877640228954,-0.006563706563706528
FULL,MOM1M,HIGH,TURNOVER_W10,10,30,0.002579982251326607,0.011312175395765983,0.02988436991799448,-0.011196911196911019
FULL,MOM1M,HIGH,ACT1_W10,10,60,-0.034981264608862195,-0.16986467734921643,0.010380792647305848,0.08344726049006213
FULL,MOM1M,HIGH,ACT5_KEEP_TOP50,10,60,0.025930037646495485,0.08081358863545873,0.0530803206508309,0.0873383110737197
FULL,MOM1M,HIGH,ACT5_KEEP_TOP70,10,60,0.027220037905357763,0.09181573604436676,0.06255003569840833,0.053875276054264565
