sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
OOS_2023_PLUS,MOM12_1,HIGH,RESID_TA_W10,20,30,0.3689529287431583,1.0276504765685552,-0.4186727252244079,0.18604651162790695
FULL,MOM12_1,HIGH,RESID_TA_W10,20,60,0.06566081873027008,0.36293060518628273,-0.5461039144686509,0.20289575289575287
OOS_2023_PLUS,MOM12_1,HIGH,RESID_TA_W10,20,60,0.3499701768743937,0.989629997788883,-0.4205880229701122,0.18604651162790695
FULL,MOM12_1,HIGH,TURNOVER_W10,10,0,0.12509870285192437,0.5103989516993154,-0.5743702805031686,0.25057915057915053
OOS_2023_PLUS,MOM12_1,HIGH,TURNOVER_W10,10,0,0.4989399811585524,1.1424748814171346,-0.4313232067801597,0.24651162790697673
FULL,MOM12_1,HIGH,TURNOVER_W10,10,30,0.10398183174234799,0.4559554043951282,-0.6020716661683277,0.25057915057915053
OOS_2023_PLUS,MOM12_1,HIGH,TURNOVER_W10,10,30,0.47156661265474886,1.0998443778599487,-0.4335132518972503,0.24651162790697673
FULL,MOM12_1,HIGH,TURNOVER_W10,10,60,0.08324205935590223,0.40153607505933203,-0.627995072231256,0.25057915057915053
OOS_2023_PLUS,MOM12_1,HIGH,TURNOVER_W10,10,60,0.4446700074652439,1.0572045094397529,-0.4356972438507941,0.24651162790697673
FULL,MOM12_1,HIGH,TURNOVER_W10,20,0,0.1019379846077968,0.4784342256673946,-0.4733371315836109,0.20057915057915057
OOS_2023_PLUS,MOM12_1,HIGH,TURNOVER_W10,20,0,0.39863194256867374,1.0922445734647346,-0.4065430267261718,0.18139534883720929
FULL,MOM12_1,HIGH,TURNOVER_W10,20,30,0.08536302328341128,0.4262866814214517,-0.5043009582156353,0.20057915057915057
OOS_2023_PLUS,MOM12_1,HIGH,TURNOVER_W10,20,30,0.3797586375855635,1.0549385573199983,-0.40837848980646985,0.18139534883720929
FULL,MOM12_1,HIGH,TURNOVER_W10,20,60,0.06902566686688627,0.37416634541988963,-0.5358227157220967,0.20057915057915057
OOS_2023_PLUS,MOM12_1,HIGH,TURNOVER_W10,20,60,0.3611284528755401,1.0176391133086908,-0.41020957903011523,0.18139534883720929
FULL,MOM12_1,LOW,BASE,10,0,0.00013323589556990534,0.15096333685178395,-0.6749377727585933,0.28146718146718147
OOS_2023_PLUS,MOM12_1,LOW,BASE,10,0,-0.12080342041497472,-0.24780547277375942,-0.47786747029041976,0.277906976744186
FULL,MOM12_1,LOW,BASE,10,30,-0.02096286740402864,0.07988614913959007,-0.6973143508634857,0.28146718146718147
OOS_2023_PLUS,MOM12_1,LOW,BASE,10,30,-0.13923653905813604,-0.31418498266655814,-0.4936346661142915,0.277906976744186
FULL,MOM12_1,LOW,BASE,10,60,-0.04163498898135076,0.008796668373187268,-0.7181687496024244,0.28146718146718147
OOS_2023_PLUS,MOM12_1,LOW,BASE,10,60,-0.15730066991383163,-0.3805238762480071,-0.515969878672071,0.277906976744186
FULL,MOM12_1,LOW,BASE,20,0,0.008475253453036569,0.16387227464653456,-0.579639364619602,0.23976833976833975
OOS_2023_PLUS,MOM12_1,LOW,BASE,20,0,-0.07776775656498003,-0.16273985050616568,-0.39490447158206243,0.22616279069767437
FULL,MOM12_1,LOW,BASE,20,30,-0.00967805560956625,0.09424279029986565,-0.6052220690092998,0.23976833976833975
OOS_2023_PLUS,MOM12_1,LOW,BASE,20,30,-0.09348655598230793,-0.22580384628085418,-0.41672154143310824,0.22616279069767437
FULL,MOM12_1,LOW,BASE,20,60,-0.027519335255862032,0.02464026149955794,-0.6292652388617066,0.23976833976833975
OOS_2023_PLUS,MOM12_1,LOW,BASE,20,60,-0.1089494169120172,-0.2888463234977214,-0.4379211551305966,0.22616279069767437
