date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,5,10,CROSS_FAMILY_W20,-0.004935049666799524,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,5,20,BASE,-0.01656171681030886,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,5,20,CROSS_FAMILY_W20,-0.02401724567559483,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,5,10,BASE,0.01950453732333953,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,5,10,CROSS_FAMILY_W20,0.002903012603993691,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,5,20,BASE,0.016002346621253945,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,5,20,CROSS_FAMILY_W20,0.029828871298579064,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,10,BASE,0.003815468680961677,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.008574249039007747,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,20,BASE,0.008508476653444478,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.00014754803596596418,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,10,BASE,0.007013274123639985,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.003142794359970294,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,20,BASE,-8.494467741528323e-05,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.002842010337499694,1.0,EARLY_2016_2019
2016-01-11,K200,OP12_REV,REVISION,5,10,BASE,-0.0002678521608086773,0.5,EARLY_2016_2019
