sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,top,POS_ALT_MINUS_MOM,>=1,46,0.0022170903035754696,-0.0011331954522243986,0.45652173913043476,0.5764742178070924
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,spread,POS_ALT,>=1,46,0.002094852018832976,-0.0006324519247890001,0.4782608695652174,0.5952741765284275
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,spread,MOM,>=1,46,-0.0014932889738462805,-0.0005651659751621,0.4782608695652174,-0.42851991347240365
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,spread,POS_ALT_MINUS_MOM,>=1,46,0.0035881409926792553,-0.0028977156329935334,0.43478260869565216,0.6703590648341093
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,top,POS_ALT,>=1,46,0.024283542203157614,0.022691781558504452,0.7608695652173914,2.4249012171851967
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,top,MOM,>=1,46,0.02071418350953857,0.029306147355408707,0.6304347826086957,1.5825724406440853
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,top,POS_ALT_MINUS_MOM,>=1,46,0.0035693586936190375,0.015208817847258175,0.5652173913043478,0.42844883521584176
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,spread,POS_ALT,>=1,46,0.0006944392386293055,-0.002202472734013435,0.45652173913043476,0.13401260017082853
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,spread,MOM,>=1,46,-0.008518631510538234,-0.01552383188535661,0.3695652173913043,-0.9605046472884509
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,spread,POS_ALT_MINUS_MOM,>=1,46,0.009213070749167537,0.01523293095883213,0.6086956521739131,0.739921539870434
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,top,POS_ALT_MINUS_MOM_BY_N,1,20,0.004640065949598656,-0.0021430317470484996,0.35,0.6813353072946435
